"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
4.382927690E-1,-3.030960560E-1,-9.167861938E-2,7.755279541E-3
4.432927690E-1,-2.649807930E-1,-1.296677589E-1,7.958984375E-2
4.482927690E-1,-2.205009460E-1,-1.497960091E-1,1.425228119E-1
4.532927690E-1,-1.958611012E-1,-1.648092270E-1,2.093296051E-1
4.582927690E-1,-1.867667437E-1,-1.441240311E-1,2.464122772E-1
4.632927690E-1,-1.855455637E-1,-9.359598160E-2,2.647266388E-1
4.682927690E-1,-1.558719873E-1,-4.050827026E-2,2.558279037E-1
4.732927690E-1,-1.176966429E-1,1.420879364E-2,2.533559799E-1
4.782927690E-1,-5.570840836E-2,5.136728287E-2,2.577066422E-1
4.832927690E-1,-1.076900959E-2,8.732318878E-2,2.599439621E-1
4.882927690E-1,4.115808010E-2,1.086893082E-1,2.697687149E-1
4.932927690E-1,8.988249302E-2,1.148719788E-1,2.587146759E-1
4.982927690E-1,1.300098896E-1,1.288771629E-1,2.698040009E-1
5.032927690E-1,1.790072918E-1,1.663465500E-1,2.697706223E-1
5.082927690E-1,1.907489300E-1,1.834969521E-1,2.980680466E-1
5.132927690E-1,1.900715828E-1,2.012600899E-1,3.262357712E-1
5.182927690E-1,1.738951206E-1,1.931095123E-1,3.404674530E-1
5.232927690E-1,1.359949112E-1,1.755113602E-1,3.658046722E-1
5.282927690E-1,9.895634651E-2,1.514468193E-1,3.725500107E-1
5.332927690E-1,6.137502193E-2,1.245031357E-1,3.654155731E-1
5.382927690E-1,1.318418980E-2,7.965373993E-2,3.757276535E-1
5.432927690E-1,7.151961327E-3,3.455066681E-2,3.665370941E-1
5.482927690E-1,1.136064529E-4,1.066446304E-2,3.747692108E-1
5.532927690E-1,-3.729426861E-2,-6.932735443E-3,3.783607483E-1
5.582927690E-1,-9.010255337E-2,-5.323886871E-3,4.045238495E-1
5.632927690E-1,-1.177242994E-1,2.415657043E-3,3.983831406E-1
5.682927690E-1,-1.432045698E-1,3.454685211E-3,3.658466339E-1
5.732927690E-1,-1.396051645E-1,2.171468735E-2,3.275260925E-1
5.782927690E-1,-1.149027348E-1,1.864290237E-2,2.802972794E-1
5.832927690E-1,-1.105988026E-1,1.936435699E-2,2.648773193E-1
5.882927690E-1,-1.075332165E-1,1.673793793E-2,2.254467010E-1
5.932927690E-1,-1.020677090E-1,2.889871597E-2,1.931343079E-1
5.982927690E-1,-1.000888348E-1,4.517412186E-2,1.443862915E-1
6.032927690E-1,-1.038929224E-1,5.608892441E-2,1.457271576E-1
6.082927690E-1,-9.969055653E-2,7.512187958E-2,1.429681778E-1
6.132927690E-1,-9.977352619E-2,1.002984047E-1,1.593751907E-1
6.182927690E-1,-9.451198578E-2,9.015750885E-2,1.223554611E-1
6.232927690E-1,-7.581675053E-2,6.658887863E-2,1.113080978E-1
6.282927690E-1,-5.402731895E-2,4.647874832E-2,8.155918121E-2
6.332927690E-1,-4.482042789E-2,3.726387024E-2,1.103305817E-1
6.382927690E-1,-2.996456623E-2,3.444623947E-2,1.452274323E-1
6.432927690E-1,-1.755547523E-2,5.071353912E-2,1.423892975E-1
6.482927690E-1,1.925277710E-2,7.627630234E-2,1.347103119E-1
6.532927690E-1,8.056712151E-2,9.827518463E-2,1.190567017E-1
6.582927690E-1,1.568045616E-1,1.206612587E-1,1.405277252E-1
6.632927690E-1,2.367852926E-1,1.431388855E-1,1.780643463E-1
6.682927690E-1,2.751535177E-1,1.358723640E-1,2.002077103E-1
6.732927690E-1,2.154495716E-1,1.210384369E-1,2.210016251E-1
6.782927690E-1,2.409914732E-1,1.437840462E-1,2.651319504E-1
6.832927690E-1,2.071212530E-1,1.222634315E-1,2.825908661E-1
