"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.982602690E-1,-2.255618125E-1,4.537198246E-1,-3.087921441E-1
2.003791230E-1,-2.243400961E-1,4.512763619E-1,-3.100138903E-1
2.024979250E-1,-2.218966335E-1,4.476111531E-1,-3.100138903E-1
2.046167790E-1,-2.206749022E-1,4.476111531E-1,-3.112356067E-1
2.067356330E-1,-2.170097083E-1,4.439459741E-1,-3.124573231E-1
2.088544350E-1,-2.157879770E-1,4.427242577E-1,-3.149007857E-1
2.109732900E-1,-2.121227980E-1,4.390590489E-1,-3.173442483E-1
2.130921440E-1,-2.084576041E-1,4.378373325E-1,-3.185659945E-1
2.152109980E-1,-2.035706937E-1,4.366155863E-1,-3.210094273E-1
2.173298520E-1,-1.999054998E-1,4.353938699E-1,-3.234528899E-1
2.194486540E-1,-1.962403059E-1,4.317286909E-1,-3.271180987E-1
2.215675080E-1,-1.913533956E-1,4.305069447E-1,-3.283398151E-1
2.236863620E-1,-1.876882017E-1,4.268417656E-1,-3.295615613E-1
2.258052170E-1,-1.815795600E-1,4.231765866E-1,-3.320049942E-1
2.279240190E-1,-1.791360974E-1,4.219548404E-1,-3.344484568E-1
2.300428730E-1,-1.766926348E-1,4.195113778E-1,-3.356702030E-1
2.321617270E-1,-1.705839932E-1,4.158461988E-1,-3.368919194E-1
2.342805810E-1,-1.681405306E-1,4.097375572E-1,-3.381136656E-1
2.363993830E-1,-1.644753367E-1,4.048506320E-1,-3.381136656E-1
2.385182370E-1,-1.632536054E-1,4.011854529E-1,-3.393353820E-1
2.406370920E-1,-1.632536054E-1,3.975202441E-1,-3.405571282E-1
2.427558940E-1,-1.620318890E-1,3.926333487E-1,-3.417788446E-1
2.448747480E-1,-1.608101577E-1,3.877464235E-1,-3.442223072E-1
2.469936020E-1,-1.620318890E-1,3.877464235E-1,-3.466657698E-1
2.491124560E-1,-1.620318890E-1,3.804160357E-1,-3.503309488E-1
2.512313100E-1,-1.608101577E-1,3.804160357E-1,-3.515526950E-1
2.533501120E-1,-1.632536054E-1,3.767508566E-1,-3.527744114E-1
2.554689670E-1,-1.632536054E-1,3.767508566E-1,-3.564395905E-1
2.575878210E-1,-1.669187993E-1,3.755291104E-1,-3.588830531E-1
2.597066750E-1,-1.693622619E-1,3.730856776E-1,-3.625482321E-1
2.618254770E-1,-1.718057245E-1,3.706422150E-1,-3.674351573E-1
2.639443310E-1,-1.779143661E-1,3.706422150E-1,-3.723220825E-1
2.660631850E-1,-1.828012913E-1,3.706422150E-1,-3.747655451E-1
2.681820400E-1,-1.864664704E-1,3.694204688E-1,-3.808741868E-1
2.703008420E-1,-1.901316643E-1,3.681987524E-1,-3.820959330E-1
2.724196960E-1,-1.974620372E-1,3.657552898E-1,-3.833176494E-1
2.745385500E-1,-2.035706937E-1,3.645335436E-1,-3.845393658E-1
2.766574040E-1,-2.084576041E-1,3.645335436E-1,-3.833176494E-1
2.787762060E-1,-2.121227980E-1,3.620901108E-1,-3.833176494E-1
2.808950600E-1,-2.145662606E-1,3.608683646E-1,-3.820959330E-1
2.830139150E-1,-2.218966335E-1,3.608683646E-1,-3.796524704E-1
2.851327690E-1,-2.267835438E-1,3.596466482E-1,-3.772090077E-1
2.872515710E-1,-2.316704690E-1,3.572031856E-1,-3.747655451E-1
2.893704250E-1,-2.353356630E-1,3.572031856E-1,-3.723220825E-1
2.914892790E-1,-2.390008420E-1,3.535379767E-1,-3.686569035E-1
2.936081330E-1,-2.438877672E-1,3.523162603E-1,-3.674351573E-1
2.957269350E-1,-2.451094985E-1,3.498727977E-1,-3.649916947E-1
2.978457900E-1,-2.524398565E-1,3.462076187E-1,-3.601047993E-1
2.999646440E-1,-2.524398565E-1,3.425424397E-1,-3.588830531E-1
3.020834980E-1,-2.573267817E-1,3.413206935E-1,-3.576613367E-1
3.042023000E-1,-2.609919906E-1,3.364337683E-1,-3.552178741E-1
3.063211540E-1,-2.658788860E-1,3.352120519E-1,-3.527744114E-1
3.084400080E-1,-2.671006322E-1,3.352120519E-1,-3.527744114E-1
3.105588620E-1,-2.707658112E-1,3.339903057E-1,-3.527744114E-1
