"Time (s)","w","x","y","z","Direct (°)","Yaw (°)","Pitch (°)","Roll (°)"
2.632927690E-1,3.523562356E-1,2.534638941E-1,2.130356282E-1,8.753381968E-1,1.387369982E2,3.524023413E1,-1.707386947E1,1.306876516E2
2.682927690E-1,3.530414093E-1,2.523201704E-1,2.132559121E-1,8.753389120E-1,1.386530909E2,3.520310988E1,-1.692711633E1,1.306641263E2
2.732927690E-1,3.538293963E-1,2.511041164E-1,2.134950161E-1,8.753121495E-1,1.385565643E2,3.516518761E1,-1.676861388E1,1.306316250E2
2.782927690E-1,3.546959114E-1,2.498276532E-1,2.137392759E-1,8.752670884E-1,1.384503827E2,3.512530858E1,-1.660111105E1,1.305925899E2
2.832927690E-1,3.556254270E-1,2.485065460E-1,2.139478028E-1,8.752150536E-1,1.383364396E2,3.507971447E1,-1.642874968E1,1.305485341E2
2.882927690E-1,3.565930697E-1,2.471596599E-1,2.141053230E-1,8.751642108E-1,1.382177769E2,3.502751933E1,-1.625504986E1,1.305016079E2
2.932927690E-1,3.575822604E-1,2.457999438E-1,2.142305821E-1,8.751128912E-1,1.380964232E2,3.497133633E1,-1.608095562E1,1.304528606E2
2.982927690E-1,3.585724354E-1,2.444518954E-1,2.142928094E-1,8.750700951E-1,1.379748995E2,3.490901028E1,-1.591113362E1,1.304038329E2
3.032927690E-1,3.595615890E-1,2.431179583E-1,2.142996788E-1,8.750341535E-1,1.378534517E2,3.484151100E1,-1.574551843E1,1.303545276E2
3.082927690E-1,3.605426097E-1,2.417977303E-1,2.142502666E-1,8.750084043E-1,1.377329535E2,3.476861104E1,-1.558438946E1,1.303058262E2
3.132927690E-1,3.615201752E-1,2.404781282E-1,2.141643614E-1,8.749897480E-1,1.376128309E2,3.469174054E1,-1.542533050E1,1.302576029E2
3.182927690E-1,3.624915725E-1,2.391442209E-1,2.140542418E-1,8.749803901E-1,1.374934178E2,3.461128360E1,-1.526639593E1,1.302108106E2
3.232927690E-1,3.634711653E-1,2.377859354E-1,2.139220834E-1,8.749765158E-1,1.373729483E2,3.452707581E1,-1.510597563E1,1.301641846E2
3.282927690E-1,3.644532319E-1,2.364098728E-1,2.137807012E-1,8.749754429E-1,1.372521249E2,3.444085001E1,-1.494427816E1,1.301179063E2
3.332927690E-1,3.654113676E-1,2.350499183E-1,2.136148810E-1,8.749827147E-1,1.371341977E2,3.435266244E1,-1.478630273E1,1.300735902E2
3.382927690E-1,3.663787723E-1,2.336858213E-1,2.134265453E-1,8.749895096E-1,1.370150813E2,3.426195427E1,-1.462877768E1,1.300282249E2
3.432927690E-1,3.673705027E-1,2.322957367E-1,2.132348120E-1,8.749905825E-1,1.368929190E2,3.416967964E1,-1.446809197E1,1.299808747E2
3.482927690E-1,3.683341059E-1,2.308934629E-1,2.130670696E-1,8.749974966E-1,1.367741722E2,3.407893681E1,-1.430612893E1,1.299368949E2
3.532927690E-1,3.692740766E-1,2.294656336E-1,2.129274309E-1,8.750109076E-1,1.366582906E2,3.398942886E1,-1.414122031E1,1.298963722E2
3.582927690E-1,3.701754725E-1,2.280174792E-1,2.128282934E-1,8.750327229E-1,1.365471209E2,3.390263333E1,-1.397378265E1,1.298607233E2
3.632927690E-1,3.710125653E-1,2.265713662E-1,2.127744108E-1,8.750669360E-1,1.364438433E2,3.382009745E1,-1.380665545E1,1.298319122E2
3.682927690E-1,3.718245467E-1,2.251044810E-1,2.127779126E-1,8.751000166E-1,1.363436282E2,3.374229261E1,-1.363558733E1,1.298062087E2
3.732927690E-1,3.726476680E-1,2.235883474E-1,2.128244638E-1,8.751272559E-1,1.362420024E2,3.366642407E1,-1.345722922E1,1.297807663E2
3.782927690E-1,3.734698927E-1,2.220099717E-1,2.129146904E-1,8.751566410E-1,1.361404512E2,3.359162958E1,-1.327072988E1,1.297576593E2
3.832927690E-1,3.742687414E-1,2.203916758E-1,2.130172849E-1,8.751994371E-1,1.360417524E2,3.351559157E1,-1.308062393E1,1.297388033E2
3.882927690E-1,3.750587462E-1,2.187229693E-1,2.131241113E-1,8.752538562E-1,1.359441125E2,3.343700966E1,-1.288577609E1,1.297229929E2
3.932927690E-1,3.758724325E-1,2.169944793E-1,2.132021785E-1,8.753160238E-1,1.358435105E2,3.335217869E1,-1.268576608E1,1.297069985E2
3.982927690E-1,3.766890281E-1,2.152287513E-1,2.132617682E-1,8.753864169E-1,1.357425128E2,3.326332288E1,-1.248299899E1,1.296921030E2
4.032927690E-1,3.774518668E-1,2.134768218E-1,2.132816613E-1,8.754819632E-1,1.356481311E2,3.317051722E1,-1.228549858E1,1.296829135E2
4.082927690E-1,3.782581615E-1,2.116601318E-1,2.132779658E-1,8.755759597E-1,1.355483383E2,3.307202304E1,-1.208137954E1,1.296711858E2
4.132927690E-1,3.790131647E-1,2.098362297E-1,2.132489681E-1,8.756955266E-1,1.354548616E2,3.296996582E1,-1.187966943E1,1.296656737E2
4.182927690E-1,3.796950310E-1,2.080258280E-1,2.131931037E-1,8.758456707E-1,1.353704131E2,3.286517826E1,-1.168320901E1,1.296680634E2
4.232927690E-1,3.803364227E-1,2.062042803E-1,2.131160945E-1,8.760168552E-1,1.352909540E2,3.275723224E1,-1.148814787E1,1.296754826E2
4.282927690E-1,3.810437839E-1,2.042933851E-1,2.130290866E-1,8.761783242E-1,1.352032959E2,3.264396471E1,-1.128258354E1,1.296784826E2
4.332927690E-1,3.817237453E-1,2.023657262E-1,2.129389048E-1,8.763515949E-1,1.351190073E2,3.252933850E1,-1.107649478E1,1.296849482E2
4.382927690E-1,3.823744332E-1,2.004476935E-1,2.128186822E-1,8.765379190E-1,1.350383234E2,3.241198609E1,-1.087384466E1,1.296941107E2
4.432927690E-1,3.830181322E-1,1.985340714E-1,2.126495689E-1,8.767334223E-1,1.349584831E2,3.228981528E1,-1.067428742E1,1.297036432E2
4.482927690E-1,3.836483971E-1,1.966374964E-1,2.124541849E-1,8.769326210E-1,1.348802866E2,3.216592800E1,-1.047813319E1,1.297135748E2
4.532927690E-1,3.842805267E-1,1.947577596E-1,2.122444361E-1,8.771260977E-1,1.348018365E2,3.204174440E1,-1.028423084E1,1.297219727E2
4.582927690E-1,3.849039699E-1,1.929070204E-1,2.120502740E-1,8.773086667E-1,1.347244425E2,3.192106750E1,-1.009262593E1,1.297293746E2
4.632927690E-1,3.855036696E-1,1.910990924E-1,2.118917406E-1,8.774793148E-1,1.346499755E2,3.180667807E1,-9.904176855E0,1.297368993E2
4.682927690E-1,3.860573335E-1,1.893597245E-1,2.117648870E-1,8.776435852E-1,1.345812070E2,3.169938240E1,-9.722352840E0,1.297462271E2
4.732927690E-1,3.865673939E-1,1.876926124E-1,2.116656005E-1,8.778011203E-1,1.345178390E2,3.159895052E1,-9.547634848E0,1.297570091E2
4.782927690E-1,3.870346267E-1,1.861009896E-1,2.115820497E-1,8.779542446E-1,1.344597788E2,3.150427872E1,-9.380904450E0,1.297691689E2
4.832927690E-1,3.874699576E-1,1.845711768E-1,2.115227729E-1,8.780994415E-1,1.344056718E2,3.141559337E1,-9.220029097E0,1.297819712E2
4.882927690E-1,3.878786445E-1,1.831006706E-1,2.114818692E-1,8.782367110E-1,1.343548666E2,3.133214782E1,-9.064883895E0,1.297949795E2
