"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
5.076602170E-1,1.614375114E1,-3.956250191E0,1.115625000E1
5.176602170E-1,1.380000019E1,-3.900000095E0,1.899375153E1
5.276602170E-1,1.845000076E1,-3.656250238E0,1.781250000E1
5.376602170E-1,2.268750000E1,-8.606250763E0,1.190625000E1
5.476602170E-1,2.418750191E1,-1.134375000E1,6.956250191E0
5.576602170E-1,2.201250076E1,-6.075000286E0,7.331250191E0
5.676602170E-1,1.391250038E1,-4.893750191E0,1.080000019E1
5.776602170E-1,1.196250057E1,-2.793750048E0,1.689375114E1
5.876602170E-1,1.710000038E1,-5.175000191E0,1.685625076E1
5.976602170E-1,2.548125076E1,-7.125000477E0,1.376250076E1
6.076602170E-1,2.720625114E1,-7.987500191E0,7.087500095E0
6.176602170E-1,2.375625038E1,-4.706250191E0,7.350000381E0
6.276602170E-1,1.468125057E1,-4.875000000E0,9.693750381E0
6.376602170E-1,1.207500076E1,-4.875000000E0,1.614375114E1
6.476602170E-1,1.813125038E1,-4.481250286E0,1.678125000E1
6.576602170E-1,2.758125114E1,-6.881250381E0,1.278750038E1
6.676602170E-1,2.776875114E1,-8.906250000E0,7.012500286E0
6.776602170E-1,2.446875191E1,-7.237500191E0,5.831250191E0
6.876602170E-1,1.575000095E1,-6.225000381E0,1.008750057E1
6.976602170E-1,1.155000019E1,-4.143750191E0,1.451250076E1
7.076602170E-1,1.736250114E1,-3.881250143E0,1.753125000E1
7.176602170E-1,2.685000038E1,-5.512500286E0,1.220625019E1
7.276602170E-1,2.868750191E1,-8.231250763E0,6.468750477E0
7.376602170E-1,2.548125076E1,-5.962500095E0,3.825000048E0
7.476602170E-1,1.648125076E1,-4.256250381E0,1.117500019E1
7.576602170E-1,1.438125038E1,-1.312500089E-1,1.648125076E1
7.676602170E-1,1.798125076E1,-3.075000048E0,1.683750153E1
7.776602170E-1,2.623125076E1,-6.318750381E0,1.306875038E1
7.876602170E-1,3.015000153E1,-6.993750095E0,8.212500572E0
7.976602170E-1,2.606250191E1,-7.743750095E0,6.618750095E0
8.076602170E-1,1.820625114E1,-2.906250000E0,1.008750057E1
8.176602170E-1,1.363125038E1,-4.293750286E0,1.636875153E1
8.276602170E-1,1.852500153E1,-3.787500143E0,1.875000000E1
8.376602170E-1,2.636250114E1,-7.425000191E0,1.269375038E1
8.476602170E-1,2.891250038E1,-8.212500572E0,6.768750191E0
8.576602170E-1,2.645625114E1,-6.675000191E0,4.650000095E0
8.676602170E-1,1.865625000E1,-3.206250191E0,1.010625076E1
8.776602170E-1,1.466250038E1,-3.281250238E0,1.612500000E1
8.876602170E-1,1.816875076E1,-2.887500048E0,1.728750038E1
8.976602170E-1,2.516250038E1,-7.050000191E0,1.173750019E1
