"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
3.029830056E1,5.037559684E1,1.628181839E1,6.048642050E2,6.496512451E2,0.000000000E0,NaN,2.071561111E0,3.890746355E0,3.286668539E0,2.800000000E1
3.129867410E1,5.037559728E1,1.628181812E1,6.048909395E2,6.496779785E2,0.000000000E0,NaN,2.071604022E0,3.954737902E0,3.235600710E0,2.800000000E1
3.229840514E1,5.037559739E1,1.628181754E1,6.048832490E2,6.496702881E2,0.000000000E0,NaN,2.071629954E0,3.939098358E0,3.299813509E0,2.800000000E1
3.329798968E1,5.037559754E1,1.628181726E1,6.048474826E2,6.496345215E2,0.000000000E0,NaN,2.071662047E0,3.929130793E0,3.415169477E0,2.700000000E1
3.429853426E1,5.037559763E1,1.628181683E1,6.048214816E2,6.496085205E2,0.000000000E0,NaN,2.071690130E0,3.888297796E0,3.485011578E0,2.700000000E1
3.529807759E1,5.037559772E1,1.628181646E1,6.048008517E2,6.495878906E2,0.000000000E0,NaN,2.071705690E0,4.545038700E0,3.796145201E0,2.600000000E1
3.629780155E1,5.037559779E1,1.628181627E1,6.047615451E2,6.495485840E2,0.000000000E0,NaN,2.071712899E0,4.444850922E0,3.749885559E0,2.600000000E1
3.729848426E1,5.037559783E1,1.628181619E1,6.047530002E2,6.495400391E2,0.000000000E0,NaN,2.071716615E0,4.063314915E0,3.689616680E0,2.600000000E1
3.829806717E1,5.037559784E1,1.628181614E1,6.047326145E2,6.495196533E2,0.000000000E0,NaN,2.071723793E0,3.810757399E0,3.617264509E0,2.600000000E1
3.929799134E1,5.037559783E1,1.628181604E1,6.047244357E2,6.495114746E2,0.000000000E0,NaN,2.071727509E0,3.790092468E0,3.766045570E0,2.600000000E1
4.029861405E1,5.037559784E1,1.628181609E1,6.047354221E2,6.495224609E2,0.000000000E0,NaN,2.071732473E0,3.790092468E0,3.861721277E0,2.700000000E1
4.129780478E1,5.037559784E1,1.628181602E1,6.047324923E2,6.495195312E2,0.000000000E0,NaN,2.071737560E0,3.790092468E0,3.856951237E0,2.600000000E1
4.229824597E1,5.037559783E1,1.628181595E1,6.047351778E2,6.495222168E2,0.000000000E0,NaN,2.071740198E0,3.790092468E0,3.822161674E0,2.400000000E1
4.329790243E1,5.037559785E1,1.628181597E1,6.047315158E2,6.495185547E2,0.000000000E0,NaN,2.071744577E0,3.790092468E0,3.778689623E0,2.700000000E1
4.429865035E1,5.037559782E1,1.628181601E1,6.047313936E2,6.495184326E2,0.000000000E0,NaN,2.071745286E0,3.790092468E0,3.862698317E0,2.700000000E1
4.529838628E1,5.037559782E1,1.628181602E1,6.047311495E2,6.495181885E2,0.000000000E0,NaN,2.071746704E0,3.790092468E0,3.944824219E0,2.700000000E1
4.629798144E1,5.037559782E1,1.628181604E1,6.047293184E2,6.495163574E2,0.000000000E0,NaN,2.071751979E0,3.790092468E0,3.857538700E0,2.700000000E1
4.729876149E1,5.037559778E1,1.628181600E1,6.047351777E2,6.495222168E2,0.000000000E0,NaN,2.071756648E0,3.790092468E0,3.844439983E0,2.700000000E1
4.829778837E1,5.037559774E1,1.628181602E1,6.047373748E2,6.495244141E2,0.000000000E0,NaN,2.071763651E0,3.790092468E0,4.086120129E0,2.700000000E1
4.929794982E1,5.037559768E1,1.628181605E1,6.047381071E2,6.495251465E2,0.000000000E0,NaN,2.071772204E0,3.790092468E0,4.107070923E0,2.700000000E1
5.029845347E1,5.037559761E1,1.628181610E1,6.047434780E2,6.495305176E2,0.000000000E0,NaN,2.071777134E0,3.790092468E0,4.250275135E0,2.600000000E1
