
time,gFx,gFy,gFz,ax,ay,az,I,Latitude,Longitude,Speed (m/s),
15:06:57:976,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,798.9976,0.00000000,0.00000000,0.00000000,
15:06:58:038,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,798.9976,50.37559099,16.28176144,0.00000000,
15:06:58:043,0.0186,-0.0039,1.0060,0.0000,0.0000,0.0000,798.9976,50.37559099,16.28176144,0.00000000,
15:06:58:044,0.0225,-0.0042,1.0063,0.0000,0.0000,0.0000,798.9976,50.37559099,16.28176144,0.00000000,
15:06:58:045,0.0223,-0.0035,1.0047,0.0000,0.0000,0.0000,798.9976,50.37559099,16.28176144,0.00000000,
15:06:58:047,0.0195,0.0002,1.0040,0.0000,0.0000,0.0000,798.9976,50.37559099,16.28176144,0.00000000,
15:06:58:107,0.0195,0.0002,1.0040,0.0000,0.0000,0.0000,798.9976,50.37559099,16.28176144,0.00000000,
15:06:58:108,0.0195,0.0002,1.0040,0.0000,0.0000,0.0000,796.9725,50.37559099,16.28176144,0.00000000,
15:06:58:109,0.0154,0.0037,1.0046,0.0000,0.0000,0.0000,796.9725,50.37559099,16.28176144,0.00000000,
15:06:58:110,0.0104,0.0044,1.0043,0.0000,0.0000,0.0000,796.9725,50.37559099,16.28176144,0.00000000,
15:06:58:112,0.0079,0.0043,1.0045,0.0000,0.0000,0.0000,796.9725,50.37559099,16.28176144,0.00000000,
15:06:58:113,0.0079,0.0043,1.0045,0.0000,0.0000,0.0000,796.9725,50.37559099,16.28176144,0.00000000,
15:06:58:173,0.0079,0.0043,1.0045,0.0000,0.0000,0.0000,796.9725,50.37559099,16.28176144,0.00000000,
15:06:58:177,0.0079,0.0043,1.0045,-0.0498,0.0326,-0.0007,796.9725,50.37559099,16.28176144,0.00000000,
15:06:58:178,0.0092,0.0018,1.0043,-0.0498,0.0326,-0.0007,796.9725,50.37559099,16.28176144,0.00000000,
15:06:58:180,0.0098,-0.0013,1.0046,-0.0498,0.0326,-0.0007,796.9725,50.37559099,16.28176144,0.00000000,
15:06:58:182,0.0134,-0.0016,1.0040,-0.0498,0.0326,-0.0007,796.9725,50.37559099,16.28176144,0.00000000,
15:06:58:241,0.0134,-0.0016,1.0040,-0.0498,0.0326,-0.0007,796.9725,50.37559099,16.28176144,0.00000000,
