
time,gFx,gFy,gFz,ax,ay,az,I,Latitude,Longitude,Speed (m/s),
13:54:28:361,0.1522,0.1935,0.9910,0.0000,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,
13:54:28:362,0.2964,0.1709,0.8878,0.0000,0.0000,0.0000,0.0000,50.37558215,16.28174965,0.31999999,
13:54:28:363,0.2964,0.1709,0.8878,0.0000,0.0000,0.0000,614.9926,50.37558215,16.28174965,0.31999999,
13:54:28:407,0.2964,0.1709,0.8878,0.0000,0.0000,0.0000,614.9926,50.37558215,16.28174965,0.31999999,
13:54:28:429,0.2990,0.1798,0.7982,0.0000,0.0000,0.0000,614.9926,50.37558215,16.28174965,0.31999999,
13:54:28:431,0.2349,0.1941,0.7659,0.0000,0.0000,0.0000,614.9926,50.37558215,16.28174965,0.31999999,
13:54:28:432,0.2086,0.1998,0.7746,0.0000,0.0000,0.0000,614.9926,50.37558215,16.28174965,0.31999999,
13:54:28:434,0.2086,0.1998,0.7746,0.0000,0.0000,0.0000,525.0150,50.37558215,16.28174965,0.31999999,
13:54:28:474,0.2086,0.1998,0.7746,0.0000,0.0000,0.0000,525.0150,50.37558215,16.28174965,0.31999999,
13:54:28:491,0.2086,0.1998,0.7746,0.0000,0.0000,0.0000,525.0150,50.37558215,16.28174965,0.31999999,
13:54:28:495,0.2223,0.1928,0.7630,0.0000,0.0000,0.0000,525.0150,50.37558215,16.28174965,0.31999999,
13:54:28:497,0.2425,0.1939,0.7292,0.0000,0.0000,0.0000,525.0150,50.37558215,16.28174965,0.31999999,
13:54:28:498,0.2468,0.1880,0.6961,0.0000,0.0000,0.0000,525.0150,50.37558215,16.28174965,0.31999999,
13:54:28:543,0.2468,0.1880,0.6961,0.0000,0.0000,0.0000,525.0150,50.37558215,16.28174965,0.31999999,
13:54:28:558,0.2468,0.1880,0.6961,0.0110,-0.0133,-0.2857,525.0150,50.37558215,16.28174965,0.31999999,
13:54:28:562,0.2328,0.1915,0.7084,0.0110,-0.0133,-0.2857,525.0150,50.37558215,16.28174965,0.31999999,
13:54:28:563,0.2226,0.1864,0.7440,0.0110,-0.0133,-0.2857,525.0150,50.37558215,16.28174965,0.31999999,
13:54:28:564,0.2150,0.1802,0.7942,0.0110,-0.0133,-0.2857,525.0150,50.37558215,16.28174965,0.31999999,
13:54:28:595,0.2150,0.1802,0.7942,0.0110,-0.0133,-0.2857,472.9725,50.37558215,16.28174965,0.31999999,
13:54:28:596,0.2044,0.1940,0.8404,0.0110,-0.0133,-0.2857,472.9725,50.37558215,16.28174965,0.31999999,
13:54:28:597,0.1904,0.1862,0.8745,0.0110,-0.0133,-0.2857,472.9725,50.37558215,16.28174965,0.31999999,
13:54:28:610,0.1904,0.1862,0.8745,0.0110,-0.0133,-0.2857,472.9725,50.37558215,16.28174965,0.31999999,
13:54:28:626,0.1904,0.1862,0.8745,-0.0428,-0.0697,0.1037,472.9725,50.37558215,16.28174965,0.31999999,
13:54:28:661,0.2018,0.1823,0.8916,-0.0428,-0.0697,0.1037,472.9725,50.37558215,16.28174965,0.31999999,
13:54:28:663,0.1937,0.1676,0.9293,-0.0428,-0.0697,0.1037,472.9725,50.37558215,16.28174965,0.31999999,
13:54:28:664,0.1636,0.1785,0.9459,-0.0428,-0.0697,0.1037,472.9725,50.37558215,16.28174965,0.31999999,
13:54:28:678,0.1636,0.1785,0.9459,-0.0428,-0.0697,0.1037,472.9725,50.37558215,16.28174965,0.31999999,
13:54:28:694,0.1636,0.1785,0.9459,-0.0415,-0.2300,0.9492,472.9725,50.37558215,16.28174965,0.31999999,
13:54:28:728,0.1248,0.2003,0.9110,-0.0415,-0.2300,0.9492,472.9725,50.37558215,16.28174965,0.31999999,
13:54:28:730,0.0912,0.2141,0.8886,-0.0415,-0.2300,0.9492,472.9725,50.37558215,16.28174965,0.31999999,
13:54:28:731,0.0296,0.2111,0.8836,-0.0415,-0.2300,0.9492,472.9725,50.37558215,16.28174965,0.31999999,
