
time,ax,ay,az,wx,wy,wz,I,Latitude,Longitude,Speed (m/s),
13:20:33:883,-0.3763,0.0263,-0.5270,-0.2448,0.0553,-0.0786,191.0250,50.37562199,16.28176774,0.00000000,
13:20:33:897,-0.3311,0.0515,-0.5428,-0.2448,0.0553,-0.0786,191.0250,50.37562199,16.28176774,0.00000000,
13:20:33:926,-0.3311,0.0515,-0.5428,-0.2448,0.0553,-0.0786,193.9950,50.37562199,16.28176774,0.00000000,
13:20:33:938,-0.3311,0.0515,-0.5428,-0.2448,0.0553,-0.0786,193.9950,50.37562199,16.28176774,0.00000000,
13:20:33:952,-0.3311,0.0515,-0.5428,-0.2569,0.0428,-0.0741,193.9950,50.37562199,16.28176774,0.00000000,
13:20:33:964,-0.2044,0.0937,-0.2882,-0.2569,0.0428,-0.0741,193.9950,50.37562199,16.28176774,0.00000000,
13:20:34:007,-0.2044,0.0937,-0.2882,-0.2569,0.0428,-0.0741,193.9950,50.37562199,16.28176774,0.00000000,
13:20:34:019,-0.2044,0.0937,-0.2882,-0.4682,0.1698,-0.1206,193.9950,50.37562199,16.28176774,0.00000000,
13:20:34:032,-0.0185,0.2680,-0.4841,-0.4682,0.1698,-0.1206,193.9950,50.37562199,16.28176774,0.00000000,
13:20:34:077,-0.0185,0.2680,-0.4841,-0.4682,0.1698,-0.1206,193.9950,50.37562199,16.28176774,0.00000000,
13:20:34:085,-0.0185,0.2680,-0.4841,-0.4682,0.1698,-0.1206,200.0025,50.37562199,16.28176774,0.00000000,
13:20:34:087,-0.0185,0.2680,-0.4841,-0.4330,0.0922,-0.0759,200.0025,50.37562199,16.28176774,0.00000000,
13:20:34:100,0.0306,0.2054,-0.3680,-0.4330,0.0922,-0.0759,200.0025,50.37562199,16.28176774,0.00000000,
13:20:34:142,0.0306,0.2054,-0.3680,-0.4330,0.0922,-0.0759,200.0025,50.37562199,16.28176774,0.00000000,
13:20:34:155,0.0306,0.2054,-0.3680,-0.2243,-0.4316,0.3065,200.0025,50.37562199,16.28176774,0.00000000,
13:20:34:167,-1.0173,-0.1179,0.1969,-0.2243,-0.4316,0.3065,200.0025,50.37562199,16.28176774,0.00000000,
13:20:34:209,-1.0173,-0.1179,0.1969,-0.2243,-0.4316,0.3065,200.0025,50.37562199,16.28176774,0.00000000,
13:20:34:222,-1.0173,-0.1179,0.1969,-0.4600,-0.1281,-0.0133,200.0025,50.37562199,16.28176774,0.00000000,
13:20:34:235,-0.2029,0.4026,-0.5350,-0.4600,-0.1281,-0.0133,200.0025,50.37562199,16.28176774,0.00000000,
13:20:34:245,-0.2029,0.4026,-0.5350,-0.4600,-0.1281,-0.0133,202.0275,50.37562199,16.28176774,0.00000000,
13:20:34:278,-0.2029,0.4026,-0.5350,-0.4600,-0.1281,-0.0133,202.0275,50.37562199,16.28176774,0.00000000,
13:20:34:289,-0.2029,0.4026,-0.5350,0.0275,-0.0241,0.0278,202.0275,50.37562199,16.28176774,0.00000000,
13:20:34:303,0.1383,-0.1719,1.2592,0.0275,-0.0241,0.0278,202.0275,50.37562199,16.28176774,0.00000000,
13:20:34:345,0.1383,-0.1719,1.2592,0.0275,-0.0241,0.0278,202.0275,50.37562199,16.28176774,0.00000000,
13:20:34:357,0.1383,-0.1719,1.2592,-0.0379,0.0698,-0.0979,202.0275,50.37562199,16.28176774,0.00000000,
13:20:34:369,-0.2128,0.1973,0.1936,-0.0379,0.0698,-0.0979,202.0275,50.37562199,16.28176774,0.00000000,
13:20:34:407,-0.2128,0.1973,0.1936,-0.0379,0.0698,-0.0979,202.9725,50.37562199,16.28176774,0.00000000,
13:20:34:413,-0.2128,0.1973,0.1936,-0.0379,0.0698,-0.0979,202.9725,50.37562199,16.28176774,0.00000000,
13:20:34:426,-0.2128,0.1973,0.1936,-0.0165,0.0209,-0.0373,202.9725,50.37562199,16.28176774,0.00000000,
13:20:34:437,-0.0085,-0.0141,0.1279,-0.0165,0.0209,-0.0373,202.9725,50.37562199,16.28176774,0.00000000,
13:20:34:481,-0.0085,-0.0141,0.1279,-0.0165,0.0209,-0.0373,202.9725,50.37562199,16.28176774,0.00000000,
13:20:34:496,-0.0085,-0.0141,0.1279,-0.1939,-0.0086,-0.0177,202.9725,50.37562199,16.28176774,0.00000000,
13:20:34:506,-0.2669,-0.0154,-0.2597,-0.1939,-0.0086,-0.0177,202.9725,50.37562199,16.28176774,0.00000000,
13:20:34:548,-0.2669,-0.0154,-0.2597,-0.1939,-0.0086,-0.0177,202.9725,50.37562199,16.28176774,0.00000000,
13:20:34:560,-0.2669,-0.0154,-0.2597,-0.3332,-0.1168,-0.0281,202.9725,50.37562199,16.28176774,0.00000000,
13:20:34:576,-0.1598,0.0977,-0.5083,-0.3332,-0.1168,-0.0281,202.9725,50.37562199,16.28176774,0.00000000,
13:20:34:617,-0.1598,0.0977,-0.5083,-0.3332,-0.1168,-0.0281,202.9725,50.37562199,16.28176774,0.00000000,
13:20:34:629,-0.1598,0.0977,-0.5083,-0.5431,-0.2162,-0.1142,202.9725,50.37562199,16.28176774,0.00000000,
13:20:34:642,-0.0518,0.2695,-0.4710,-0.5431,-0.2162,-0.1142,202.9725,50.37562199,16.28176774,0.00000000,
13:20:34:684,-0.0518,0.2695,-0.4710,-0.5431,-0.2162,-0.1142,202.9725,50.37562199,16.28176774,0.00000000,
13:20:34:698,-0.0518,0.2695,-0.4710,-0.6330,-0.2156,-0.0861,202.9725,50.37562199,16.28176774,0.00000000,
13:20:34:712,-0.2246,0.2260,-0.5272,-0.6330,-0.2156,-0.0861,202.9725,50.37562199,16.28176774,0.00000000,
13:20:34:726,-0.2246,0.2260,-0.5272,-0.6330,-0.2156,-0.0861,203.9850,50.37562199,16.28176774,0.00000000,
13:20:34:752,-0.2246,0.2260,-0.5272,-0.6330,-0.2156,-0.0861,203.9850,50.37562199,16.28176774,0.00000000,
13:20:34:764,-0.2246,0.2260,-0.5272,-0.3887,-0.1785,-0.0655,203.9850,50.37562199,16.28176774,0.00000000,
13:20:34:778,-0.1963,0.1329,0.2635,-0.3887,-0.1785,-0.0655,203.9850,50.37562199,16.28176774,0.00000000,
13:20:34:820,-0.1963,0.1329,0.2635,-0.3887,-0.1785,-0.0655,203.9850,50.37562199,16.28176774,0.00000000,
13:20:34:832,-0.1963,0.1329,0.2635,-0.1634,0.0154,-0.0150,203.9850,50.37562199,16.28176774,0.00000000,
13:20:34:845,-0.0761,-0.1368,0.5114,-0.1634,0.0154,-0.0150,203.9850,50.37562199,16.28176774,0.00000000,
13:20:34:891,-0.0761,-0.1368,0.5114,-0.1634,0.0154,-0.0150,202.9725,50.37562199,16.28176774,0.00000000,
13:20:34:893,-0.0761,-0.1368,0.5114,-0.1634,0.0154,-0.0150,202.9725,50.37562199,16.28176774,0.00000000,
13:20:34:901,-0.0761,-0.1368,0.5114,-0.0702,0.0802,0.0031,202.9725,50.37562199,16.28176774,0.00000000,
13:20:34:913,0.1565,-0.0874,0.2940,-0.0702,0.0802,0.0031,202.9725,50.37562199,16.28176774,0.00000000,
13:20:34:957,0.1565,-0.0874,0.2940,-0.0702,0.0802,0.0031,202.9725,50.37562199,16.28176774,0.00000000,
13:20:34:967,0.1565,-0.0874,0.2940,0.0597,0.0779,-0.0383,202.9725,50.37562199,16.28176774,0.00000000,
13:20:34:980,0.1768,-0.1298,0.3720,0.0597,0.0779,-0.0383,202.9725,50.37562199,16.28176774,0.00000000,
13:20:35:023,0.1768,-0.1298,0.3720,0.0597,0.0779,-0.0383,202.9725,50.37562199,16.28176774,0.00000000,
13:20:35:036,0.1768,-0.1298,0.3720,0.1573,0.0218,-0.1025,202.9725,50.37562199,16.28176774,0.00000000,
13:20:35:045,0.1768,-0.1298,0.3720,0.1573,0.0218,-0.1025,203.9850,50.37562199,16.28176774,0.00000000,
13:20:35:048,0.2397,-0.0848,0.3475,0.1573,0.0218,-0.1025,203.9850,50.37562199,16.28176774,0.00000000,
13:20:35:091,0.2397,-0.0848,0.3475,0.1573,0.0218,-0.1025,203.9850,50.37562199,16.28176774,0.00000000,
13:20:35:104,0.2397,-0.0848,0.3475,-0.0177,-0.0884,-0.2097,203.9850,50.37562199,16.28176774,0.00000000,
13:20:35:116,0.0131,0.0612,-0.1799,-0.0177,-0.0884,-0.2097,203.9850,50.37562199,16.28176774,0.00000000,
13:20:35:158,0.0131,0.0612,-0.1799,-0.0177,-0.0884,-0.2097,203.9850,50.37562199,16.28176774,0.00000000,
13:20:35:171,0.0131,0.0612,-0.1799,-0.1562,-0.2998,-0.4016,203.9850,50.37562199,16.28176774,0.00000000,
13:20:35:184,0.0099,0.1184,-0.4126,-0.1562,-0.2998,-0.4016,203.9850,50.37562199,16.28176774,0.00000000,
13:20:35:205,0.0099,0.1184,-0.4126,-0.1562,-0.2998,-0.4016,202.9725,50.37562199,16.28176774,0.00000000,
13:20:35:227,0.0099,0.1184,-0.4126,-0.1562,-0.2998,-0.4016,202.9725,50.37562199,16.28176774,0.00000000,
13:20:35:239,0.0099,0.1184,-0.4126,-0.0816,-0.4763,-0.3896,202.9725,50.37562199,16.28176774,0.00000000,
13:20:35:251,-0.1266,0.0115,0.0012,-0.0816,-0.4763,-0.3896,202.9725,50.37562199,16.28176774,0.00000000,
13:20:35:296,-0.1266,0.0115,0.0012,-0.0816,-0.4763,-0.3896,202.9725,50.37562199,16.28176774,0.00000000,
13:20:35:307,-0.1266,0.0115,0.0012,-0.0493,-0.3141,-0.1781,202.9725,50.37562199,16.28176774,0.00000000,
13:20:35:319,-0.2009,-0.2499,0.1771,-0.0493,-0.3141,-0.1781,202.9725,50.37562199,16.28176774,0.00000000,
13:20:35:362,-0.2009,-0.2499,0.1771,-0.0493,-0.3141,-0.1781,202.9725,50.37562199,16.28176774,0.00000000,
13:20:35:365,-0.2009,-0.2499,0.1771,-0.0493,-0.3141,-0.1781,198.9900,50.37562199,16.28176774,0.00000000,
13:20:35:376,-0.2009,-0.2499,0.1771,-0.1939,-0.0260,0.0550,198.9900,50.37562199,16.28176774,0.00000000,
13:20:35:388,-0.1709,-0.0952,-0.1124,-0.1939,-0.0260,0.0550,198.9900,50.37562199,16.28176774,0.00000000,
13:20:35:430,-0.1709,-0.0952,-0.1124,-0.1939,-0.0260,0.0550,198.9900,50.37562199,16.28176774,0.00000000,
13:20:35:443,-0.1709,-0.0952,-0.1124,-0.1914,0.0745,0.1202,198.9900,50.37562199,16.28176774,0.00000000,
13:20:35:455,0.0170,-0.0642,-0.0425,-0.1914,0.0745,0.1202,198.9900,50.37562199,16.28176774,0.00000000,
13:20:35:498,0.0170,-0.0642,-0.0425,-0.1914,0.0745,0.1202,198.9900,50.37562199,16.28176774,0.00000000,
13:20:35:512,0.0170,-0.0642,-0.0425,-0.2231,0.0683,0.5049,198.9900,50.37562199,16.28176774,0.00000000,
13:20:35:522,-0.1320,0.0058,0.0319,-0.2231,0.0683,0.5049,198.9900,50.37562199,16.28176774,0.00000000,
13:20:35:564,-0.1320,0.0058,0.0319,-0.2231,0.0683,0.5049,198.9900,50.37562199,16.28176774,0.00000000,
13:20:35:577,-0.1320,0.0058,0.0319,-0.1232,-0.0846,-0.0425,198.9900,50.37562199,16.28176774,0.00000000,
13:20:35:592,-0.0048,-0.0254,-0.6518,-0.1232,-0.0846,-0.0425,198.9900,50.37562199,16.28176774,0.00000000,
