
time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,I,Latitude,Longitude,Speed (m/s),
13:21:14:326,0.0184,0.6208,0.9242,0.6595,0.2227,-0.4489,0.5053,0.3910,0.0116,180.9675,50.37562931,16.28175891,0.00000000,
13:21:14:370,-0.1271,0.5685,0.9121,0.6595,0.2227,-0.4489,0.5053,0.3910,0.0116,180.9675,50.37562931,16.28175891,0.00000000,
13:21:14:377,-0.1271,0.5685,0.9121,0.6595,0.2227,-0.4489,0.2164,-0.4879,0.2842,180.9675,50.37562931,16.28175891,0.00000000,
13:21:14:394,-0.1271,0.5685,0.9121,-1.1710,0.0665,1.1012,0.2164,-0.4879,0.2842,180.9675,50.37562931,16.28175891,0.00000000,
13:21:14:404,-0.1271,0.5685,0.9121,-1.1710,0.0665,1.1012,0.2164,-0.4879,0.2842,190.0125,50.37562931,16.28175891,0.00000000,
13:21:14:437,0.1188,0.5893,0.8628,-1.1710,0.0665,1.1012,0.2164,-0.4879,0.2842,190.0125,50.37562931,16.28175891,0.00000000,
13:21:14:445,0.1188,0.5893,0.8628,-1.1710,0.0665,1.1012,0.3065,-0.2899,0.0223,190.0125,50.37562931,16.28175891,0.00000000,
13:21:14:462,0.1188,0.5893,0.8628,-0.4099,-0.3329,1.1002,0.3065,-0.2899,0.0223,190.0125,50.37562931,16.28175891,0.00000000,
13:21:14:505,0.0538,0.5550,0.8797,-0.4099,-0.3329,1.1002,0.3065,-0.2899,0.0223,190.0125,50.37562931,16.28175891,0.00000000,
13:21:14:513,0.0538,0.5550,0.8797,-0.4099,-0.3329,1.1002,-0.0336,-0.1115,0.0664,190.0125,50.37562931,16.28175891,0.00000000,
13:21:14:529,0.0538,0.5550,0.8797,0.3381,-0.3712,0.0035,-0.0336,-0.1115,0.0664,190.0125,50.37562931,16.28175891,0.00000000,
13:21:14:565,0.0538,0.5550,0.8797,0.3381,-0.3712,0.0035,-0.0336,-0.1115,0.0664,191.0250,50.37562931,16.28175891,0.00000000,
13:21:14:573,0.1463,0.5671,0.7659,0.3381,-0.3712,0.0035,-0.0336,-0.1115,0.0664,191.0250,50.37562931,16.28175891,0.00000000,
13:21:14:580,0.1463,0.5671,0.7659,0.3381,-0.3712,0.0035,0.3335,-0.1026,-0.2216,191.0250,50.37562931,16.28175891,0.00000000,
13:21:14:596,0.1463,0.5671,0.7659,0.7809,-0.5783,0.6586,0.3335,-0.1026,-0.2216,191.0250,50.37562931,16.28175891,0.00000000,
13:21:14:640,0.0623,0.5646,0.6936,0.7809,-0.5783,0.6586,0.3335,-0.1026,-0.2216,191.0250,50.37562931,16.28175891,0.00000000,
13:21:14:648,0.0623,0.5646,0.6936,0.7809,-0.5783,0.6586,0.0513,-0.2775,-0.1721,191.0250,50.37562931,16.28175891,0.00000000,
13:21:14:665,0.0623,0.5646,0.6936,0.3330,-0.5164,-1.0393,0.0513,-0.2775,-0.1721,191.0250,50.37562931,16.28175891,0.00000000,
13:21:14:708,0.2030,0.5641,0.7435,0.3330,-0.5164,-1.0393,0.0513,-0.2775,-0.1721,191.0250,50.37562931,16.28175891,0.00000000,
13:21:14:717,0.2030,0.5641,0.7435,0.3330,-0.5164,-1.0393,0.0476,-0.4786,-0.2250,191.0250,50.37562931,16.28175891,0.00000000,
13:21:14:724,0.2030,0.5641,0.7435,0.3330,-0.5164,-1.0393,0.0476,-0.4786,-0.2250,197.9775,50.37562931,16.28175891,0.00000000,
13:21:14:733,0.2030,0.5641,0.7435,0.2055,-0.4616,-0.6571,0.0476,-0.4786,-0.2250,197.9775,50.37562931,16.28175891,0.00000000,
13:21:14:776,0.2469,0.5810,0.7561,0.2055,-0.4616,-0.6571,0.0476,-0.4786,-0.2250,197.9775,50.37562931,16.28175891,0.00000000,
13:21:14:787,0.2469,0.5810,0.7561,0.2055,-0.4616,-0.6571,-0.4792,-0.0696,-0.6158,197.9775,50.37562931,16.28175891,0.00000000,
13:21:14:800,0.2469,0.5810,0.7561,1.9432,-0.1707,-0.6704,-0.4792,-0.0696,-0.6158,197.9775,50.37562931,16.28175891,0.00000000,
13:21:14:843,-0.0018,0.6585,0.9151,1.9432,-0.1707,-0.6704,-0.4792,-0.0696,-0.6158,197.9775,50.37562931,16.28175891,0.00000000,
13:21:14:854,-0.0018,0.6585,0.9151,1.9432,-0.1707,-0.6704,-0.2324,-0.1523,-0.3172,197.9775,50.37562931,16.28175891,0.00000000,
13:21:14:870,-0.0018,0.6585,0.9151,0.5371,0.1593,0.0229,-0.2324,-0.1523,-0.3172,197.9775,50.37562931,16.28175891,0.00000000,
13:21:14:887,-0.0018,0.6585,0.9151,0.5371,0.1593,0.0229,-0.2324,-0.1523,-0.3172,223.0200,50.37562931,16.28175891,0.00000000,
13:21:14:911,-0.0596,0.8239,0.8445,0.5371,0.1593,0.0229,-0.2324,-0.1523,-0.3172,223.0200,50.37562931,16.28175891,0.00000000,
13:21:14:919,-0.0596,0.8239,0.8445,0.5371,0.1593,0.0229,0.3629,-0.7379,0.1466,223.0200,50.37562931,16.28175891,0.00000000,
13:21:14:936,-0.0596,0.8239,0.8445,-1.6646,1.0372,1.1710,0.3629,-0.7379,0.1466,223.0200,50.37562931,16.28175891,0.00000000,
13:21:14:983,-0.0024,0.8798,0.8338,-1.6646,1.0372,1.1710,0.3629,-0.7379,0.1466,223.0200,50.37562931,16.28175891,0.00000000,
13:21:14:987,-0.0024,0.8798,0.8338,-1.6646,1.0372,1.1710,0.0223,-0.7705,0.2133,223.0200,50.37562931,16.28175891,0.00000000,
13:21:15:003,-0.0024,0.8798,0.8338,-1.8299,2.2919,0.1716,0.0223,-0.7705,0.2133,223.0200,50.37562931,16.28175891,0.00000000,
13:21:15:045,-0.0024,0.8798,0.8338,-1.8299,2.2919,0.1716,0.0223,-0.7705,0.2133,274.9950,50.37562931,16.28175891,0.00000000,
13:21:15:046,0.0128,0.8410,0.8922,-1.8299,2.2919,0.1716,0.0223,-0.7705,0.2133,274.9950,50.37562931,16.28175891,0.00000000,
13:21:15:055,0.0128,0.8410,0.8922,-1.8299,2.2919,0.1716,-0.0469,-0.9209,0.3383,274.9950,50.37562931,16.28175891,0.00000000,
13:21:15:073,0.0128,0.8410,0.8922,-1.9928,2.0383,0.6281,-0.0469,-0.9209,0.3383,274.9950,50.37562931,16.28175891,0.00000000,
13:21:15:115,0.2335,0.7685,0.8414,-1.9928,2.0383,0.6281,-0.0469,-0.9209,0.3383,274.9950,50.37562931,16.28175891,0.00000000,
13:21:15:123,0.2335,0.7685,0.8414,-1.9928,2.0383,0.6281,0.5611,-0.9366,0.5592,274.9950,50.37562931,16.28175891,0.00000000,
13:21:15:140,0.2335,0.7685,0.8414,-1.8712,1.1498,1.3941,0.5611,-0.9366,0.5592,274.9950,50.37562931,16.28175891,0.00000000,
13:21:15:183,0.5861,0.6023,0.5840,-1.8712,1.1498,1.3941,0.5611,-0.9366,0.5592,274.9950,50.37562931,16.28175891,0.00000000,
13:21:15:191,0.5861,0.6023,0.5840,-1.8712,1.1498,1.3941,0.3887,-0.6064,-0.1950,274.9950,50.37562931,16.28175891,0.00000000,
13:21:15:205,0.5861,0.6023,0.5840,-1.8712,1.1498,1.3941,0.3887,-0.6064,-0.1950,276.0075,50.37562931,16.28175891,0.00000000,
