"event","experiment time","system time","system time text"
"START",0.000000000E0,1786273674.969,"2026-08-09 13:07:54.969 UTC+02:00"
"PAUSE",1.194276340E2,1786273794.397,"2026-08-09 13:09:54.397 UTC+02:00"
