"event","experiment time","system time","system time text"
"START",0.000000000E0,1786709677.635,"2026-08-14 14:14:37.635 UTC+02:00"
"PAUSE",1.188655239E2,1786709796.501,"2026-08-14 14:16:36.501 UTC+02:00"
